,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
10534,1165525994,PhotoScan - scanner by Google Photos,71370752,USD,0,1421,268,4.5,5,1.4.1,4+,Photo & Video,25,0,36,1
7114,1080114119,Pixomatic - layer based photo editor,117997568,USD,4.99,1396,11,4.5,5,3.1,12+,Photo & Video,37,5,12,1
2942,824421012,Brushstroke,61438976,USD,3.99,1373,116,4.5,4.5,3.1,4+,Photo & Video,37,5,12,1
3041,849145835,"Union - Combine, Blend, and Edit Photos",52169728,USD,1.99,1372,378,4.5,5,1.5.4,4+,Photo & Video,37,5,2,1
2221,634467171,Glitché,30717952,USD,0.99,1338,202,4,4.5,2.12,4+,Photo & Video,37,5,1,1
1671,545623778,Camera360 Concept - HelloCamera,45243392,USD,0.99,1335,9,4.5,4.5,1.1.1,4+,Photo & Video,38,0,3,1
7258,1083057569,GhostCodes - a discovery app for Snapchat,54652928,USD,0,1313,223,4.5,4.5,1.9.9,12+,Social Networking,37,0,1,1
2397,666575946,RealTimes: Video Maker,187350016,USD,0,1274,0,4.5,0,4.10.004,4+,Photo & Video,37,4,10,1
4953,1014459049,Fontmania - Add Artworks & Text to Your Photos!,37767168,USD,4.99,1249,306,4.5,4.5,1.6,4+,Photo & Video,37,5,11,1
2822,789870026,Jodel,56655872,USD,0,1193,19,4.5,5,3.58,17+,Social Networking,37,0,14,1
3028,847334708,Meipai,147106816,USD,0,1190,0,4.5,0,6.1.5,12+,Photo & Video,37,0,3,1
1970,585307861,PicTapGo,32724992,USD,1.99,1175,0,4.5,0,3.5.2,4+,Photo & Video,37,5,6,1
5473,1038849525,POTO - Photo Collage Maker,53268480,USD,0,1149,197,4.5,4.5,2.6.1,4+,Photo & Video,37,5,11,1
5104,1022267439,"SNOW - Selfie, Motion sticker, Fun camera",119274496,USD,0,1115,2,4,2.5,3.2.5,4+,Photo & Video,37,0,5,1
613,392538848,ToonCamera,29494272,USD,1.99,1037,95,4.5,4.5,4,4+,Photo & Video,37,5,13,1
2595,719829352,FireChat,15021056,USD,0,1037,42,3,3.5,8.0.12,12+,Social Networking,37,3,13,1
4008,953511734,Bestie-Beauty Camera 360 & Portrait Selfie Editor,107235328,USD,0,1035,6,4.5,4.5,3.9.90,4+,Photo & Video,37,0,15,1
7916,1096918571,Google Duo - simple video calling,44514304,USD,0,1033,3,4,4.5,12,4+,Social Networking,37,0,74,1
3645,924695435,Pixelmator,132711424,USD,4.99,1029,156,4,4,2.3,4+,Photo & Video,37,5,11,1
10139,1149994032,Facetune 2,141808640,USD,0,1009,12,3,3.5,1.5,4+,Photo & Video,25,5,12,1
2613,724295527,Pitu,102120448,USD,0,968,4,5,5,4.9.2,4+,Photo & Video,38,0,5,1
6222,1061859052,intoLive - Custom Live Photos wallpaper maker,47119360,USD,0,938,656,4.5,4.5,2.0.2,4+,Photo & Video,37,0,18,1
3070,855274310,Cinamatic,43502592,USD,2.99,937,9,3.5,4,1.6.4,4+,Photo & Video,37,5,9,1
3638,924438909,"ProShot - RAW, DSLR Controls & Video",5897216,USD,3.99,893,19,4.5,4,3.8,4+,Photo & Video,37,2,11,1
3425,905995602,Easy Lock Pro - Lock Screen Wallpaper,41463808,USD,2.99,888,156,4.5,3.5,2,4+,Photo & Video,38,0,1,1
6212,1061724021,Fiesta by Tango - Chat & Meet New People,179022848,USD,0,885,148,4.5,4.5,4.57.1,17+,Social Networking,37,1,30,1
7913,1096801294,Google Allo — smart messaging,171962368,USD,0,862,54,3.5,3.5,11,17+,Social Networking,37,0,68,1
3992,952578897,LOL Movie: Change your face + voice!,64729088,USD,0,849,61,4.5,4,1.4,4+,Photo & Video,38,5,14,1
5411,1036066107,Camcorder - Record VHS Home Videos,15195136,USD,0,830,540,4.5,4.5,1.1.1,4+,Photo & Video,38,5,1,1
2301,648862644,"Videon - Video Camera and Editor with Zoom, Pause, Effects, Filters",11747328,USD,4.99,818,180,4.5,4,2.11,4+,Photo & Video,38,5,11,1
8765,1116112829,Anime Power FX,97897472,USD,0,807,807,4.5,4.5,1,9+,Photo & Video,37,5,1,1
2485,687792357,Squaready for Video - Convert Rectangle Movie Clip into Square Shape for Instagram,38898688,USD,0,778,44,3,2.5,1.5.0,4+,Photo & Video,37,0,2,1
2862,797818385,Repost It! for Instagram Pro - Video Photo Whiz,54003712,USD,2.99,745,98,4,4.5,1.6.0,4+,Social Networking,37,3,1,1
6509,1067891186,Peach — share vividly,15626240,USD,0,727,98,4,4,1.2.1,12+,Social Networking,37,0,1,1
5598,1043337296,Hey! VINA - Where Women Meet New Friends,103951360,USD,0,719,83,3,4.5,1.13,12+,Social Networking,37,0,1,1
845,425996445,Tiny Planet Photos and Video,84909056,USD,0.99,714,8,4,4,6.3.0,4+,Photo & Video,37,5,7,1
1913,577628510,TeamSpeak 3,27543552,USD,4.99,697,8,2.5,3,3.1.23,17+,Social Networking,38,1,4,1
2384,664425773,Canon PRINT Inkjet/SELPHY,25640960,USD,0,689,102,2.5,2.5,2.3.4,4+,Photo & Video,38,5,20,1
1407,505311207,Battlefield? Companion,58883072,USD,0,689,338,2.5,2.5,3.0.4,12+,Social Networking,37,5,11,1
6436,1066416979,All Devices for WhatsApp - Messenger for iPad,30306304,USD,0,682,25,3,2,1.64,4+,Social Networking,24,2,32,1
9291,1127910488,Microsoft Pix Camera,131016704,USD,0,678,31,4,4,1.0.32,4+,Photo & Video,25,4,9,1
949,440948110,Kwai - Share your video moments,91466752,USD,0,668,4,4.5,5,4.99.6,17+,Photo & Video,38,0,11,1
3545,915861546,Project Life,181997568,USD,2.99,666,3,4.5,5,2.5,4+,Photo & Video,37,5,24,1
433,366195670,The Photographer's Ephemeris,58463232,USD,8.99,663,5,5,4,3.14.1,4+,Photo & Video,37,5,1,1
293,339462921,CatPaint,73332736,USD,0.99,649,11,4,4,3.5.1,4+,Photo & Video,37,5,1,1
3559,917229473,Warmlight - Manual Camera & Photo Editor,57647104,USD,4.99,643,50,4,4.5,2.1,4+,Photo & Video,37,5,16,1
1711,550902799,Camera+ for iPad,62664704,USD,4.99,641,22,3.5,3.5,2,4+,Photo & Video,24,5,10,1
3962,950902520,Polaroid Print App - ZIP,85582848,USD,0,631,44,1.5,1.5,3.1,4+,Photo & Video,37,0,22,1
859,427941017,YY- 小全民手机直播交友软件,165367808,USD,0,624,4,4,5,6.3.8,17+,Social Networking,37,0,2,1
2922,819197891,Don't Touch This - Secret Data Vault,40141824,USD,6.99,615,117,4.5,4.5,2.8,17+,Photo & Video,37,5,12,1
2449,679454835,VHS Camcorder,16485376,USD,2.99,613,38,4,4,1.2.4,4+,Photo & Video,37,4,1,1
3779,937616953,Cloud Video Player Pro - Play Videos from Cloud,52418560,USD,2.99,602,70,3.5,4,2.5,17+,Photo & Video,40,5,54,1
2454,680258201,Photo Quilt - Auto Collage Maker,15210496,USD,0,599,236,4.5,4.5,1.5.1,4+,Photo & Video,37,0,1,1
2074,598542901,Perfect Video - Video Editor & Movie Maker (Pro),20610048,USD,3.99,594,68,4.5,5,4.6.1,4+,Photo & Video,37,5,19,1
475,373311252,TouchRetouch,27962368,USD,1.99,588,54,4,4,4.0.1,4+,Photo & Video,37,0,14,1
758,411843682,iDarkroom,29369344,USD,0.99,554,1,4.5,4,2.6,4+,Photo & Video,37,0,31,1
2298,648228242,百度贴吧HD,106000384,USD,0,542,366,3.5,4,6.8.0,17+,Social Networking,24,3,1,1
2257,640564761,Stop Motion Studio Pro,52312064,USD,4.99,537,2,4.5,5,8.3.1,4+,Photo & Video,37,5,10,1
2418,670133026,Clip Video Download Pro.,31154176,USD,6.99,530,526,4,4,1.4,17+,Photo & Video,43,5,28,1
876,430856616,True Red Eye Remover HD-Face Recovery,4511744,USD,0.99,528,379,4,4,2.9,4+,Photo & Video,40,0,1,1
1730,553807264,Cymera - Photo & Beauty Editor & Collage,123231232,USD,0,523,0,3,0,3.3.1,4+,Photo & Video,38,0,13,1
2624,726895069,FACIE,35204096,USD,0,514,3,3.5,4.5,3.4,4+,Photo & Video,37,5,14,1
773,414002091,WordFoto,5800960,USD,1.99,513,10,4,3.5,1.1.1,4+,Photo & Video,38,5,1,1
9355,1129553203,Chat for Pokemon Go - GoChat,18925568,USD,0,500,500,2,2,1,4+,Social Networking,37,0,1,1
1928,580002794,Followers + EA - Analytics for Instagram,19306496,USD,0.99,482,24,2.5,1,3.0.2,12+,Social Networking,25,3,29,1
6914,1076297448,IAmNaughty – Dating App to Meet New People Online,40430592,USD,0,463,5,3,2,2.3,17+,Social Networking,38,0,17,1
897,433156786,Qzone HD,30027776,USD,0,458,26,3.5,3,4.1.4.1,4+,Social Networking,26,5,2,1
3951,950519698,VivaVideo PRO Best Video Editor & Movie Maker HD,135152640,USD,2.99,442,42,4.5,5,5.8.0,4+,Photo & Video,37,0,19,1
2995,838848566,Zenly - Locate your friends in realtime,126879744,USD,0,427,0,4,0,3.1.0,4+,Social Networking,37,0,23,1
3170,876291194,Photo Editing Effects & Collage Maker - Effectshop,56615936,USD,0,422,3,4.5,4.5,4.0.1,4+,Photo & Video,37,5,5,1
6968,1077150310,League of Legends Friends,97852416,USD,0,420,15,3.5,3.5,1.3.7,4+,Social Networking,37,0,21,1
3342,896890211,Remove Caption for Snapchat* Screenshots,41888768,USD,3.99,418,46,3,4,3.1.3,4+,Social Networking,37,0,1,1
3775,937289819,Pic-it Collage - Photo Collage Maker and Editor,36184064,USD,0,415,72,4.5,4.5,2.21,4+,Photo & Video,38,0,26,1
3284,891280237,"CollageKing pro - 2 in one (Two applications in one) create Photo and Video collage frame for instagram, vine",51412992,USD,1.99,412,393,4,4,1.1,4+,Photo & Video,40,5,31,1
3438,907002334,豆瓣,109557760,USD,0,407,0,3.5,0,4.18.1,12+,Social Networking,37,5,2,1
4590,991032122,Candid - Speak Your Mind Freely,47065088,USD,0,398,0,3.5,0,1.7.3,17+,Social Networking,37,0,1,1
3197,881267423,Candy Camera,61046784,USD,0,397,1,4,3,2.5.4,9+,Photo & Video,37,5,8,1
886,432274380,知乎,149436416,USD,0,397,0,3,0,3.52.1,17+,Social Networking,37,5,1,1
2364,659353189,IntroMate - Intro Maker for iMovie,189254656,USD,2.99,386,28,4.5,4,2.5,4+,Photo & Video,37,5,12,1
5723,1048026594,MaxCurve - Photo editor for pro photography,40071168,USD,3.99,375,60,4.5,5,2.4,4+,Photo & Video,38,5,18,1
6340,1064676206,Microsoft Selfie,68282368,USD,0,375,24,4,4,2.2.0,4+,Photo & Video,37,0,24,1
5254,1030487391,Selfeo,86573056,USD,0,366,3,4,5,1.6.2,17+,Social Networking,37,1,1,1
5690,1046884557,Filterra – Photo Editor,83418112,USD,3.99,366,81,4.5,4.5,1.5,4+,Photo & Video,37,5,13,1
458,369970819,Fake-A-Location Free ?,7689537,USD,0,354,215,1.5,1,1.01,4+,Social Networking,43,0,1,1
8698,1114710947,Color Pop Free - Selective Color Splash Effects and Black & White Photography Editor,5553152,USD,0,352,325,4,4,1.0.2,4+,Photo & Video,38,5,1,1
1473,517488939,Cortex Camera,3409920,USD,2.99,346,14,4,4,2.12,4+,Photo & Video,37,1,1,1
3439,907159478,Cycloramic for iPhone SE/5/5S,24351744,USD,1.99,346,6,2.5,2,2.03,4+,Photo & Video,37,3,11,1
3672,927823151,Pro HDR X,1953792,USD,1.99,345,321,3.5,3.5,1.1,4+,Photo & Video,37,4,1,1
2294,647554947,Clone Magic,18268160,USD,1.99,306,79,4,4,3.0.1,4+,Photo & Video,40,5,1,1
4695,997252057,Popcorn Buzz - Free Group Calls,17457152,USD,0,281,97,3.5,3.5,1.3.2,4+,Social Networking,38,0,17,1
11035,1185328193,Fam — Group video calling for iMessage,113382400,USD,0,279,5,3.5,3,0.6.41,4+,Social Networking,37,4,1,1
2567,710380093,QQ International,103233536,USD,0,274,0,2,0,4.8.4,4+,Social Networking,38,0,8,1
339,349442137,Ameba,96635904,USD,0,269,0,3,0,8.6.1,12+,Social Networking,37,0,1,1
7765,1093582666,Krome Studio Service Plus,32825344,USD,1.99,269,57,3.5,4.5,3,4+,Photo & Video,37,0,1,1
2420,670910957,VVebo - 微博客户端,17336320,USD,0.99,259,8,4.5,5,2.0.9,4+,Social Networking,38,5,2,1
4952,1014277964,SelfieCity,71816192,USD,0,252,1,5,5,2.9.1,4+,Photo & Video,37,0,5,1
365,354850853,Dr. Seuss Camera - The Cat in the Hat Edition,9906176,USD,0.99,249,5,4.5,4.5,1.5.5,4+,Photo & Video,37,0,1,1
3265,888701288,Instaflash Pro,17196032,USD,4.99,249,79,5,5,4.0.1,4+,Photo & Video,37,5,2,1
3909,947824428,Hydra - Amazing Photography,16631808,USD,4.99,249,3,3.5,3.5,1.3.4,4+,Photo & Video,37,1,15,1
7135,1080434313,FabFocus - portraits with depth and bokeh,83113984,USD,3.99,244,163,4,4.5,1.0.6,4+,Photo & Video,25,3,9,1
9299,1128075013,InstaSave for Instagram - Download & Repost your own Videos & Photos for Free,11674624,USD,0,243,243,4,4,1.0.0,12+,Photo & Video,40,3,1,1
6849,1074278256,SoundCloud Pulse: for creators,18540544,USD,0,240,53,3,3,1.3.2,4+,Social Networking,37,0,1,1
1600,534960206,Rhonna Collage,123987968,USD,1.99,239,2,4,5,3.4.1,4+,Photo & Video,38,5,29,1
3091,861891048,Tantan,35807232,USD,0,235,0,4.5,0,2.7.4,17+,Social Networking,37,0,5,1
2153,616728746,Slow Shutter!,2039808,USD,1.99,230,141,4,4.5,2.6,4+,Photo & Video,38,5,1,1
2974,834248867,SKRWT,34190336,USD,1.99,230,29,4.5,4.5,1.4,4+,Photo & Video,37,5,21,1
10555,1166974799,"CATCHY Photos-Easter Bunny, Tooth Fairy and more..",81744896,USD,0,228,32,1.5,1.5,1.55,4+,Photo & Video,37,2,1,1
5374,1035142291,SW/NG - Living Photos. Memories that Swing.,89583616,USD,0,222,0,3,0,2.4.1,12+,Photo & Video,25,0,9,1
2494,689859603,SlideStory - Create a slideshow movie and a snap video,54693888,USD,0,220,60,4.5,4.5,1.5.7,4+,Photo & Video,40,0,9,1
1255,481964944,PolyFrame - All In One Collage Maker,108412928,USD,1.99,219,0,4,0,11.1,4+,Photo & Video,37,5,4,1
2801,780458840,Fonta,22478848,USD,0.99,217,94,4,4,1.2.0,4+,Photo & Video,38,0,30,1
1205,477091899,Cougar Dating & Life Style App for Mature Women,109448192,USD,0,213,30,4.5,4.5,5.2.2,17+,Social Networking,37,5,1,1
1999,587849880,Bokeh Lens,3923968,USD,0.99,206,15,4,4.5,1.3.6,4+,Photo & Video,37,0,1,1
5968,1055538670,Relight - Better Photos,13051904,USD,4.99,203,24,4.5,4.5,2,4+,Photo & Video,37,5,12,1
8726,1115111967,Collageable PRO - Photo Collage,69005312,USD,1.99,202,105,4,4,1.2,4+,Photo & Video,37,0,11,1
4588,990928352,Relook,56421376,USD,3.99,198,50,4.5,4.5,1.5.3,4+,Photo & Video,37,5,10,1
1921,578665578,Threema,24925184,USD,2.99,196,2,4.5,4.5,2.10.0,4+,Social Networking,37,5,9,1
1527,525176875,Sun Surveyor - Sun & Moon Visualization Tool,26597376,USD,9.99,183,14,5,5,2.4.2,4+,Photo & Video,35,4,21,1
2314,650715760,LetterGlow - Graphic Design & Photo Editing,125425664,USD,2.99,181,32,4,4.5,2.2.6,4+,Photo & Video,37,0,9,1
4649,994119740,Rawr Messenger - Dab your chat,130276352,USD,0,180,28,4,3.5,1.5.4,12+,Social Networking,37,0,1,1
9850,1140935852,Tiny Memories - Photo Editor for Baby Pics,42786816,USD,4.99,171,55,4.5,5,1.4,4+,Photo & Video,37,5,11,1
6485,1067596534,This by Tinrocket,47585280,USD,1.99,169,123,4.5,4.5,1.0.2,4+,Photo & Video,37,5,1,1
10332,1158517484,Spectrum - Colorize Black and White Photos,18656256,USD,4.99,169,33,3.5,3,1.4,4+,Photo & Video,37,5,10,1
3613,922304974,Cycloramic for iPhone 6/6S (Not the 6+/6S+),32371712,USD,1.99,168,15,2.5,2.5,1.3.1,4+,Photo & Video,25,1,11,1
2061,596026805,PhotoPills,39256064,USD,9.99,166,16,4.5,5,2.3.3,4+,Photo & Video,37,5,6,1
9038,1121943475,"April - Layouts, Photo Collage, and Poster Maker",56849408,USD,0,165,29,4.5,5,2.4.4.1,4+,Photo & Video,37,0,10,1
1519,523520711,PopCam　Photo,52942848,USD,0,160,3,4,5,4.0.8,4+,Photo & Video,38,0,9,1
6096,1059218666,Litchi for DJI Mavic/Phantom/Inspire,81354752,USD,22.99,159,0,3.5,0,1.16.2,4+,Photo & Video,37,5,23,1
5937,1054355818,WhenToPost: Best Time to Post Photos for Instagram,14897152,USD,0,158,5,3,2,2.1,4+,Social Networking,38,0,1,1
7009,1077809640,ChatMate for WhatsApp,26032128,USD,2.99,148,1,4,5,4.1.0,4+,Social Networking,24,5,7,1
4398,978985106,Inke—Broadcast an amazing life,137212928,USD,0,147,0,4,0,4.0.55,17+,Social Networking,37,0,2,1
8496,1110639444,LightX,53415936,USD,1.99,147,73,3.5,4,2.1,4+,Photo & Video,37,0,21,1
6953,1076859004,Foodie - Delicious Camera for Food,44275712,USD,0,144,4,3.5,2.5,1.5.2,4+,Photo & Video,37,0,21,1
4868,1009257820,FreeVRPlayer,7944192,USD,0,134,37,2.5,3,2,4+,Photo & Video,37,2,1,1
7530,1088682460,Flippy - Star in famous clips!,85392384,USD,0.99,134,5,4,5,2.3.3,12+,Photo & Video,37,3,11,1
4224,968591710,ACDSee Pro,105525248,USD,6.99,130,7,4.5,4,3.1.1,4+,Photo & Video,37,5,10,1
2718,754105884,NightCap Camera,6580224,USD,1.99,128,9,4,5,9,4+,Photo & Video,37,5,12,1
10171,1151506903,Not Karlton Banks Emojis by Eboticons,45600768,USD,1.99,121,7,4,4.5,4.8,17+,Social Networking,37,0,1,1
9681,1136910248,Confetti - Geofilter Design Maker for Snapchat,81762304,USD,0,120,61,3,3,1.0.3,4+,Photo & Video,37,0,1,1
1345,494906425,Who Deleted Me? for Facebook,4303262,USD,0.99,118,118,1.5,1.5,1.0.0,4+,Social Networking,45,1,1,0
880,431065024,Fake Location,6228992,USD,0.99,117,7,1,1,3.1,4+,Social Networking,37,5,13,1
4466,982936366,Uptown & Co. - Vintage Filters & insignias.,50565120,USD,1.99,115,79,4,4.5,2.0.2,4+,Photo & Video,38,5,1,1
1261,482465886,Video Compressor,12115968,USD,1.99,108,6,4,3,3,4+,Photo & Video,37,3,1,1
2944,824940089,InsSave - Download & Save Photos & Videos From Instagram With Ease!,2314240,USD,0.99,107,97,3,3,1.2,4+,Social Networking,38,2,1,1
4384,978236345,WeicoPro 4,80967680,USD,0.99,106,0,3,0,4.9.12,17+,Social Networking,38,0,5,1
10033,1146696085,"Philm-Video&Photo Editor,REAL-TIME Magic Filter",90322944,USD,0,103,0,4,0,1.4.0,4+,Photo & Video,38,0,3,1
928,437314677,Digital Domain,13512704,USD,0,102,0,2,0,3.0.4,9+,Photo & Video,37,4,9,1
3463,909196467,Homido 360 VR player,58593280,USD,0,100,71,3.5,3.5,2,17+,Photo & Video,38,5,1,1
4585,990668324,Formulas - Photo Lab Effects and Custom Frames,274699264,USD,1.99,99,39,4.5,4,2.3,4+,Photo & Video,37,5,13,1
4286,972426013,Filters for iPhone and iPad,91374592,USD,1.99,97,5,4,5,3.1,4+,Photo & Video,37,5,1,1
6095,1059213655,"Gifstory - GIF Camera, Editor and Converter of Photo, Live Photo, and Video to GIF",29030400,USD,0.99,96,30,4.5,4.5,1.2.2,4+,Photo & Video,37,0,1,1
1949,582538300,TimeStamp Photo with GPS Address Location,671744,USD,1.99,93,15,2.5,2.5,6.6,4+,Photo & Video,40,1,1,1
3866,944644383,Aftercut : Background Eraser & Easy Photo Editor,99231744,USD,1.99,91,23,4.5,4.5,3.29,4+,Photo & Video,37,5,13,1
5776,1049316924,Changes - Face Tracker,25260032,USD,2.99,90,31,2.5,2.5,2.3,4+,Photo & Video,37,0,14,1
3970,951350964,Bachify,98627584,USD,1.99,88,50,3.5,3.5,1.0.1.50,12+,Photo & Video,37,0,1,1
7500,1088115502,Best 9 for Instagram,27278336,USD,0,88,88,1,1,1.1,4+,Photo & Video,37,1,1,1
10922,1179685798,VR Video World - Virtual Reality,97276928,USD,0,88,26,4.5,5,1.0.14,12+,Photo & Video,38,0,2,1
1250,481587094,秒拍-超火爆短视频分享平台,120877056,USD,0,84,0,4,0,6.6.70,17+,Photo & Video,37,0,9,1
5025,1018922850,Flow Speed Control ● Professional Edition,104204288,USD,1.99,83,36,4.5,4.5,1.14,4+,Photo & Video,37,5,21,1
1580,531761928,same - 就是聊得来,123238400,USD,0,78,0,4,0,4.0.4,17+,Social Networking,37,0,1,1
333,348543978,Timetracks - Slit-Scan Camera,11369472,USD,0.99,70,1,2,1,2.2.0,4+,Photo & Video,37,4,5,1
1231,479528827,Photomontage : PhotoLayers for iPhone,15488000,USD,0.99,67,14,4.5,4,9.0.0,4+,Photo & Video,37,0,2,1
6235,1062002361,LumaFX - infinite video effects,13921280,USD,2.99,67,11,4,4.5,2.0.3,4+,Photo & Video,37,5,8,1
2775,774620933,FilmStory - For All Your Video Editing Needs,80793600,USD,0,66,8,4,3.5,2.5,4+,Photo & Video,37,2,5,1
9031,1121796149,GIFYme - Create video loops and gifs with amazing filters for Whatsapp and Instagram,31382528,USD,0,65,10,3.5,4,5,4+,Photo & Video,25,3,5,1
2802,780467456,Effects Studio,69170176,USD,1.99,64,2,4,4.5,4.3.7,9+,Photo & Video,37,5,11,1
5826,1051141720,InsPad - Instagram for iPad,14870528,USD,4.99,64,17,3.5,4,4,4+,Social Networking,37,5,1,1
9932,1142803226,Visionn - Real Time Artistic Photo & Video Effects,25473024,USD,1.99,64,30,4.5,4,1.3.9,4+,Photo & Video,25,5,10,1
10243,1154401422,Paintkeep - Turn Photo into Painting,31147008,USD,2.99,63,7,4.5,4,4.5,4+,Photo & Video,37,5,13,1
8241,1104655318,Littlebook - for Facebook on Watch,25890816,USD,2.99,62,16,3,2.5,2.0.1,4+,Social Networking,37,0,1,1
9470,1132473553,Funny Face Pro - 2000+ Stickers Pics Photos Editor,306835456,USD,1.99,62,12,3.5,3.5,1.8,4+,Photo & Video,37,3,1,1
2446,676201334,Kiosk Photo Transfer by Fujifilm,33662976,USD,0,58,0,3,0,2.5,4+,Photo & Video,37,0,4,1
5165,1025000402,Snug for Instagram - Preview your photos,32174080,USD,0.99,58,3,2.5,3,2.6.1,4+,Photo & Video,37,0,14,1
8080,1100723148,Pikazo – AI art that YOU control,84549632,USD,0,56,3,4,4,3.2.3,4+,Photo & Video,37,5,24,1
10887,1178472225,Mustknow - anonymous video Q&A,92884992,USD,0,53,0,1.5,0,4.0.0,12+,Social Networking,37,0,1,1
5483,1039260250,"lollicam - photo, video, and selfie camera",114951168,USD,0,51,0,3.5,0,1.71,9+,Photo & Video,37,0,17,1
6717,1071897944,File New - Photo Editor,153460736,USD,0.99,49,37,4.5,4.5,1.5,4+,Photo & Video,37,5,10,1
8221,1104124222,Ultrapic,31016960,USD,1.99,48,2,2.5,1,1.4.1,4+,Photo & Video,37,0,1,1
6159,1060333629,Focus - RAW Manual Camera with Smart Focus Peaking,36320256,USD,1.99,46,16,4,3,1.6.0,4+,Photo & Video,37,0,3,1
11010,1183234072,CTFxCmoji,26077184,USD,0,39,4,5,5,1.3,9+,Social Networking,37,1,1,1
9208,1125534178,"BeCasso – Watercolor & Oil Paintings, Comic Effect",77242368,USD,1.99,39,1,4.5,5,1.2.2,4+,Photo & Video,25,5,8,1
3057,852801905,タップル誕生 - 出会いアプリで趣味から恋活?婚活,62878720,USD,0,37,1,4.5,5,2.2.1,17+,Social Networking,37,0,2,1
1735,554050644,Touch Camera - Fast Recording and Burst,5071872,USD,1.99,36,1,1,1,2.6.6,4+,Photo & Video,37,5,3,1
703,405548206,Lobi,38540288,USD,0,36,0,4,0,9.1.5,17+,Social Networking,37,0,4,1
4715,998360879,Chain: Collaborate On MyVideo Story/Group Video,95789056,USD,0,35,0,4.5,0,3.2.5,12+,Social Networking,37,0,1,1
10750,1173954282,Mannequin Challenge Maker,4682752,USD,0.99,35,1,2,5,2.3,4+,Photo & Video,37,0,1,1
4327,974769286,Exify - Tools for Photos,8335360,USD,1.99,34,8,4,4,1.1,4+,Photo & Video,37,5,1,1
3760,935623257,infltr - Infinite Filters,132298752,USD,1.99,32,0,2.5,0,2.8.2,4+,Photo & Video,37,5,22,1
5379,1035219562,Analog Paris,27561984,USD,0.99,32,32,4.5,4.5,1.0.7,4+,Photo & Video,43,5,5,1
4409,979540312,Northern Lights Photo Taker,9326592,USD,0.99,29,29,4,4,1,4+,Photo & Video,37,2,1,1
10501,1164423068,Feelca B&W,51673088,USD,0.99,26,1,3,1,1.4.7,4+,Photo & Video,37,0,4,1
3630,923873989,CreamCam+ auto selfie enhancer,47947776,USD,1.99,25,0,3.5,0,4.03,4+,Photo & Video,37,3,33,1
9817,1140040414,LOOKS - Real Makeup Camera,73741312,USD,0,25,2,3.5,2,1.3.4,4+,Photo & Video,37,4,8,1
4435,981437721,BabyMaker: Funny Baby Face out of Parents' Pictures - Make a Photo Collage!,65159168,USD,0.99,24,24,1.5,1.5,1,4+,Photo & Video,38,5,1,1
2833,793157344,feather for Twitter,66388992,USD,2.99,22,0,4.5,0,3.7.0,17+,Social Networking,37,0,3,1
2766,771433054,Date & Time Photo Stamp,618496,USD,0.99,21,21,2.5,2.5,1,4+,Photo & Video,38,1,1,1
5070,1021091295,C CHANNEL -Watch tips & tricks videos for girls,58049536,USD,0,21,0,5,0,2.6.8,12+,Photo & Video,37,0,8,1
5369,1034774337,"OVLA - Awesome & Creative Typography Design, Graphic Design, Photo Editing",63175680,USD,0.99,21,12,3.5,3.5,1.0.6,4+,Photo & Video,37,5,4,1
4126,961932335,Analog Tokyo,18935808,USD,0.99,19,13,4,4,1.0.7,4+,Photo & Video,43,5,5,1
4546,988396858,花椒直播-高清美颜直播互动平台,174611456,USD,0,19,0,3,0,3.9.12,17+,Social Networking,37,0,4,1
6114,1059442774,GeometriCam - abstract geometric design in real-time,23003136,USD,2.99,17,6,4.5,3,1.2,4+,Photo & Video,37,0,1,1
7038,1078412469,AirParrot Remote,20189184,USD,7.99,17,9,2.5,2,1.1,4+,Photo & Video,37,5,1,1
3029,847347016,in-capturing moments in life,147728384,USD,0,16,0,4,0,3.1.0,12+,Photo & Video,38,0,3,1
5096,1021988466,狼人之夜,30931968,USD,0.99,15,3,4.5,5,1.3.3,12+,Social Networking,37,5,1,1
10932,1180103898,Everfilter - transform your photos into artworks,49449984,USD,0,15,3,3.5,2.5,1.1.3,4+,Photo & Video,37,0,7,1
4600,991626372,Snapshot Cam - Draw on Pictures & Add Text to Photos,109117440,USD,2.99,14,1,5,5,1.4,4+,Photo & Video,37,5,31,1
8019,1099092384,VR Viewer,45782016,USD,0.99,14,9,3,2.5,1.1.2,4+,Photo & Video,37,2,2,1
7856,1095581857,ひみつの出会い探しはバクアイ-無料の出会いチャットアプリで友達作り,8456192,USD,0,13,5,5,5,1.6,17+,Social Networking,37,0,1,1
3361,898788946,Clipstro - auto strobe motion video creator,25996288,USD,3.99,12,0,3,0,3.1.5,4+,Photo & Video,38,1,12,1
10964,1181025437,Demi Lovato Stickers,88388608,USD,0.99,12,8,3.5,3.5,1.1,12+,Social Networking,37,0,1,1
7809,1094370858,Cleanz - Clean up Your Photo Library,12622848,USD,1.99,12,0,3.5,0,1.1,4+,Photo & Video,37,0,9,1
9557,1134086133,GoSnaps - Share Screenshots for Pokémon GO,6919168,USD,0,12,1,4,2,1.2.0,12+,Photo & Video,37,1,1,1
